Unnamed: 0,Unnamed: 1,Unnamed: 2
  松滋市,  Songzi,79
  监利市,  Jianli,153
  麻城市,  Macheng,113
  武穴市,  Wuxue,81
  赤壁市,  Chibi,52
  广水市,  Guangshui,87
  恩施市,  Enshi,82
  利川市,  Lichuan,92
  仙桃市,  Xiantao,150
  潜江市,  Qianjiang,99
  天门市,  Tianmen,155
湖南省,Hunan,
  浏阳市,  Liuyang,147
  宁乡市,  Ningxiang,140
  醴陵市,  Liling,102
  湘乡市,  Xiangxiang,90
  韶山市,  Shaoshan,12
  耒阳市,  Leiyang,137
  常宁市,  Changning,93
  武冈市,  Wugang,82
  邵东市,  Shaodong,131
  汨罗市,  Miluo,74
  临湘市,  Linxiang,53
  津市市,  Jinshi,22
  沅江市,  Yuanjiang,70
  资兴市,  Zixing,36
  祁阳市,  Qiyang,101
  洪江市,  Hongjiang,48
  冷水江市,  Lengshuijiang,35
  涟源市,  Lianyuan,113
  吉首市,  Jishou,33
广东省,Guangdong,
  乐昌市,  Lechang,52
  南雄市,  Nanxiong,49
  台山市,  Taishan,95
  开平市,  Kaiping,68
  鹤山市,  Heshan,40
  恩平市,  Enping,50
  廉江市,  Lianjiang,188
  雷州市,  Leizhou,190
  吴川市,  Wuchuan,125
  高州市,  Gaozhou,185
  化州市,  Huazhou,180
  信宜市,  Xinyi,151
  四会市,  Sihui,50
  兴宁市,  Xingning,114
  陆丰市,  Lufeng,193
  阳春市,  Yangchun,122
  英德市,  Yingde,121
  连州市,  Lianzhou,53
  普宁市,  Puning,252
  罗定市,  Luoding,129
广西壮族自治区,Guangxi,
  横州市,  Hengzhou,126
  荔浦市,  Lipu,38
  岑溪市,  Cenxi,97
  东兴市,  Dongxing,17
  桂平市,  Guiping,203
  北流市,  Beiliu,157
  靖西市,  Jingxi,66
  平果市,  Pingguo,52
  合山市,  Heshan,13
  凭祥市,  Pingxiang,12
海南省,Hainan,
  五指山市,  Wuzhishan,10
  琼海市,  Qionghai,52
  文昌市,  Wenchang,59
  万宁市,  Wanning,62
  东方市,  Dongfang,47
四川省,Sichuan,
  都江堰市,  Dujiangyan,62
  彭州市,  Pengzhou,79
  邛峡市,  Qionglai,64
  崇州市,  Chongzhou,65
  简阳市,  Jianyang,150
  广汉市,  Guanghan,59
  什邡市,  Shifang,41
  绵竹市,  Mianzhu,48
  江油市,  Jiangyou,85
  射洪市,  Shehong,92
  隆昌市,  Longchang,75
  峨眉山市,  Emeishan,42
  阆中市,  Langzhong,80
  华蓥市,  Huaying,34
  万源市,  Wanyuan,56
  马尔康市,  Maerkang,5
  康定市,  Kangding,11
  西昌市,  Xichang,77
  会理市,  Huili,46
贵州省,Guizhou,
  清镇市,  Qingzhen,57
  盘州市,  Panzhou,136
  赤水市,  Chishui,32
  仁怀市,  Renhuai,75
  黔西市,  Qianxi,101
  兴义市,  Xingyi,96
  兴仁市,  Xingren,57
  凯里市,  Kaili,59
  都匀市,  Duyun,51
  福泉市,  Fuquan,34
云南省,Yunnan,
  安宁市,  Anning,29
  宣威市,  Xuanwei,156
  澄江市,  Chengjiang,18
  腾冲市,  Tengchong,69
  水富市,  Shuifu,11
  楚雄市,  Chuxiong,55
  禄丰市,  Lufeng,42
  个旧市,  Gejiu,37
  开远市,  Kaiyuan,29
  蒙自市,  Mengzi,47
  弥勒市,  Mile,55
  文山市,  Wenshan,56
  景洪市,  Jinghong,44
  大理市,  Dali,66
  瑞丽市,  Ruili,15
  芒市,  Mangshi,42
  泸水市,  Lushui,19
  香格里拉市,  Shangri-la,15
西藏自治区,Xizang,
米林市,Milin,3
  错那市,Cuona,2
陕西省,Shaanxi,
  兴平市,  Xingping,59
  彬州市,  Binzhou,36
  韩城市,  Hancheng,39
  华阴市,  Huayin,24
  子长市,  Zichang,26
  神木市,  Shenmu,47
  旬阳市,  Xunyang,44
甘肃省,Gansu,
  华亭市,  Huating,19
  玉门市,  Yumen,14
  敦煌市,  Dunhuang,14
  临夏市,  Linxia,30
  合作市,  Hezuo,10
青海省,Qinghai,
  同仁市,  Tongren,10
  玉树市,  Yushu,12
  格尔木市,  Golmud,14
  德令哈市,  Delingha,7
  茫崖市,  Mangya,5
宁夏回族自治区,Ningxia,
  灵武市,  Lingwu,25
  青铜峡市,  Qingtongxia,27
新疆维吾尔自治区,Xinjiang,
  昌吉市,  Changji,41
  阜康市,  Fukang,13
  博乐市,  Bole,19
  阿拉山口市,  Alashankou,0
  库尔勒市,  Korla,50
  阿克苏市,  Akesu,59
  库车市,  Kuche,48
  阿图什市,  Artux,29
  喀什市,  Kashi,68
  和田市,  Hetian,42
  伊宁市,  Yining,62
  奎屯市,  Kuitun,14
  霍尔果斯市,  Horgos,7
  塔城市,  Tacheng,15
  乌苏市,  Wusu,21
  沙湾市,  Shawan,19
  阿勒泰市,  Aletai,16
  石河子市,  Shihezi,36
  阿拉尔市,  Alar,36
  图木舒克市,  Tumushuke,26
  五家渠市,  Wujiaqu,10
  北屯市,  Beitun,5
  铁门关市,  Tiemenguan,13
  双河市,  Shuanghe,6
  可克达拉市,  Cocodala,9
  昆玉市,  Kunyu,6
  胡杨河市,  Huyanghe,3
  新星市,  Xinxing,9
  白杨市,Baiyang,2
